Title,Lyrics
Grenade,"[Verse 1]
Easy come, easy go, that's just how you live, oh
Take, take, take it all, but you never give
Shoulda known you was trouble from the first kiss
Had your eyes wide open; why were they open? (Ooh)

[Pre-Chorus]
Gave you all I had and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever ask
'Cause what you don't understand is

[Chorus]
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah)
Oh, oh-oh oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya baby
But you won't do the same

[Post-Chorus]
No, no, no, no, oh-oh oh...

[Verse 2]
Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said ""Hey"" when you get back to where you're from
Mad woman, bad woman, that's just what you are
Yeah, you'll smile in my face then rip the brakes out my car

[Pre-Chorus]
Gave you all I had and you tossed it in the trash
You tossed it in the trash; yes, you did!
To give me all your love is all I ever ask
'Cause what you don't understand is

[Chorus]
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah)
Oh, oh-oh oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same

[Bridge]
If my body was on fire
Ooh, you'd watch me burn down in flames
You said you loved me, you're a liar
Cause you never, ever, ever did, baby

[Chorus]
But darlin', I'd still catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah)
Oh, oh-oh oh-oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same

[Outro]
No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no oh-oh oh"
Just the Way You Are,"[Verse 1]
Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her every day
Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are

[Verse 2]
Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful, and I tell her every day
Oh you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are

[Post-Chorus]
The way you are
The way you are
Girl, you're amazing just the way you are

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are, yeah"
Our First Time,"[Refrain]
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby

[Verse 1]
Na-na-na, here we are, here we are
In this big old empty room, staring at each other
Who's gonna make the first move?
Been doing our thing for a minute
And now both our hearts are in it
The only place to go is all the way

[Chorus]
Is that alright? Is that okay?
Girl, no need to be nervous
Cause I got you all night
Don't you worry about a thing, babe
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time

[Verse 2]
Clothes are not required
For what we got planned
Ooh, girl, you're my desire
Your wish is my command
Treat you like a princess
Ooh, girl, you're so delicious
Like ice cream on a sunny day
Gonna eat you before you melt away

[Chorus]
Is that alright? Is that okay?
Girl, no need to be nervous
Cause I got you all night
Don't you worry about a thing, babe
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time

[Refrain]
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby

[Chorus]
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time"
Runaway Baby,"[Intro]
Oh yes

[Verse 1]
Well, looky here, looky here
Ah, what do we have?
Another pretty thing ready for me to grab
But little does she know that I'm a wolf in sheep's clothing
'Cause at the end of the night, it is her I'll be holding

[Pre-Chorus]
I love you so
That's what you'll say
You'll tell me, ""Baby, baby, please don't go away...""
But when I play, I never stay
So every girl that I meet, yeah, this is what I say

[Chorus]
Run, run, run away, run away, baby
Before I put my spell on you
You better get, get, get away, get away, darlin'
'Cause everything you heard is true
Your poor little heart will end up alone
'Cause Lord knows I'm a rollin' stone
So you better run, run, run away, run away, baby

[Verse 2]
Well, let me think, let me think
Ah, what should I do?
So many eager young bunnies that I'd like to pursue
Now even though they eating out the palm of my hand
There's only one carrot and they all gotta share it

[Pre-Chorus]
I love you so
That's what you'll say
You'll tell me, ""Baby, baby, please don't go away...""
But when I play, I never stay
So every girl that I meet, yeah, this is what I say

[Chorus]
Run, run, run away, run away, baby
Before I put my spell on you
You better get, get, get away, get away, darlin'
'Cause everything you heard is true
Your poor little heart will end up alone
'Cause Lord knows I'm a rollin' stone
So you better run, run, run away, run away, baby

[Bridge]
See, I ain't trynna' hurt you, baby, no, no
No, I just wanna work you, baby, yup, yup
See, I ain't trynna' hurt you, baby, no, no
No, I just wanna work you, baby
If you scared you better run
(You better run) you better run
(You better run) you better run
You better, you better, you better

[Chorus]
Run, run, run away, run away, baby
Before I put my spell on you
You better get, get, get away, get away, darlin'
'Cause everything you heard is true
Your poor little heart will end up alone
'Cause Lord knows I'm a rollin' stone
So you better run, run, run away, run away, baby"
Lazy Song,"[Chorus]
Today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything

[Verse 1]
I'm gonna kick my feet up, then stare at the fan
Turn the TV on, throw my hand in my pants
Nobody's gonna tell me I can't
I'll be lounging on the couch
Just chillin' in my Snuggie
Click to MTV, so they can teach me how to dougie
'Cause in my castle I'm the freaking man

[Pre-Chorus]
Oh oh, yes I said it
I said it, I said it, 'cause I can

[Chorus]
Today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything
Nothing at all
Nothing at all

[Verse 2]
Tomorrow, I'll wake up, do some P90X
Meet a really nice girl, have some really nice sex
She's gonna scream out, ""This is great!""
(Oh my god, this is great)
Yeah, I might mess around and get my college degree
I bet my old man will be so proud of me
But sorry pops, you'll just have to wait

[Pre-Chorus]
Oh oh, yes I said it
I said it, I said it, 'cause I can

[Chorus]
Today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything

[Bridge]
No, I ain't gonna comb my hair
'Cause I ain't going anywhere
No, no, no, no, no, no, no, no, no
I'll just strut in my birthday suit
And let everything hang loose
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah

[Chorus]
Oh, today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything
Nothing at all
Nothing at all"
Marry You,"[Chorus]
It's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna to marry you

[Verse 1]
Well, I know this little chapel on the boulevard we can go
No one will know
Oh, come on, girl
Who cares if we're trashed
Got a pocket full of cash we can blow
Shots of patron
And it's on, girl

[Pre-Chorus]
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready

[Chorus]
Cause it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna marry you, oh

[Verse 2]
I'll go get a ring, let the choir bells sing, like ooh
So what you wanna do?
Let's just run girl
If we wake up and you wanna break up, that's cool
No, I won't blame you
It was fun, girl

[Pre-Chorus]
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready

[Chorus]
Cause it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna marry you, oh

[Bridge]
Just say, ""I do...""
Tell me right now baby
Tell me right now baby, baby
Just say, ""I do...""
Tell me right now baby
Tell me right now baby, baby

[Chorus]
Oh, it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna marry you"
Talking to the Moon,"[Verse 1]
I know you're somewhere out there
Somewhere far away
I want you back, I want you back
My neighbors think I'm crazy
But they don't understand
You're all I have, you're all I have

[Pre-Chorus]
At night when the stars light up my room
I sit by myself...

[Chorus]
Talking to the moon
Trying to get to you
In hopes you're on the other side talking to me too
Or am I a fool, who sits alone, talking to the moon?

[Verse 2]
I'm feeling like I'm famous, the talk of the town
They say I've gone mad
Yeah, I've gone mad
But they don't know what I know
Cause when the sun goes down someone's talking back
Yeah, they're talking back, oh

[Pre-Chorus]
At night when the stars light up my room
I sit by myself...

[Chorus]
Talking to the moon
Trying to get to you
In hopes you're on the other side talking to me too
Or am I a fool, who sits alone, talking to the moon?

[Bridge]
Do you ever hear me calling?
Oh-oh-oh, oh-oh-oh
Cause every night, I'm talking to the moon

[Chorus]
Still trying to get to you
In hopes you're on the other side talking to me too
Or am I a fool, who sits alone, talking to the moon?

[Outro]
I know you're somewhere out there
Somewhere far away"
Liquor Store Blues,"[Intro: Damian Marley]
Now greetings to da world (all of you)
Vye here is da one called Bruno Mars 'long side gong to da zilla
(Ya know me, I roll)

[Verse 1: Bruno Mars]
Standing at this liquor store
Whiskey coming through my pores
Feeling like I run this whole block
Lotto tickets, cheap beer
That's why you can catch me here
Tryna scratch my way up to the top

[Pre-Chorus: Bruno Mars]
'Cause my job got me going nowhere
So I ain't got a thing to lose
Take me to a place where I don't care
This is me and my liquor store blues

[Chorus: Bruno Mars]
I'll take one shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow
One shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow

[Verse 2: Bruno Mars]
Me and my guitar, tonight
Singing to the city lights
Tryna leave with more than what I got
'Cause 68 cent just ain't gonna pay the rent
So I'll be out here 'til they call the cops

[Pre-Chorus: Bruno Mars]
'Cause my job got me going nowhere
So I ain't got a thing to lose
Take me to a place where I don't care
This is me and my liquor store blues

[Chorus: Bruno Mars]
I'll take one shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow
One shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow

[Verse 3: Damian Marley]
Here come Junior Gong
I'm flying high like Superman
And thinking that I run the whole block
I dunno if it's just because
Pineapple kush between my jaws
Has got me feeling like I'm on top
Feeling like I would stand up to de cops
And stand up to de bigga heads
Becaw de whole ah de ah saps
All de talk dem a talk
And dem fly make nah drop
Nuff ghetto youth cannot escape de trap

[Chorus: Bruno Mars]
Give me this one shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow
One shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow

[Outro Spoken: Damian Marley]
Now greetings to da world
Vyes to da one called Bruno Mars 'long side gong to da zilla
A.K.A. Damian junior gong Marley, yes sir
Ya best believe, ha ha (now neh)"
The Other Side,"[Verse 1: Bruno Mars]
Truth of the matter is I'm complicated
You're as straight as they come
You go 'bout your day, baby
While I hide from the sun
It's better if you don't understand
Cause you won't know what it's like until you try

[Chorus: Bruno Mars]
You know I, I've been waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole lifetime, but you just gotta decide
You know I, I've been waiting on the other
Waiting on the other side

[Verse 2: Cee-Lo Green]
We would live forever
Who could ask for more?
You could die if you wanted, but baby, what for?
It's better if you don't understand
And you won't know what it's like until you, try

[Chorus: Cee-Lo Green]
You know I, I've been waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole lifetime, but you just gotta decide
You know I, I've been waiting on the other
Waiting on the other side

[Verse 3: B.o.B.]
If they say life's a dream, call this insomnia
Cause this ain't Wonderland, it damn sure ain't Narnia
And once you cross the line, you can't change your mind
Yeah, I'm a monster, but I'm no Frankenstein
And quite frankly, I've been feelin' insane in between my eyes
I really can't explain what I feel inside
If you knew what I was, you would run and hide
Many have tried to go into the night
Cross over the line, and come back alive
But that's the price we pay when we living on the other side

[Chorus: Bruno Mars]
You know I, I've been waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole lifetime, but you just gotta decide
You know I, I've been waiting on the other
Waiting on the other side

[Outro: B.o.B]
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand"
Young Girls,"[Verse 1]
I spend all my money
On a big, old fancy car
For these bright-eyed honeys
Oh yeah, you know who you are
Keep me up 'til the sun is high
'Til the birds start calling my name
I'm addicted and I don't know why
Guess I've always been this way

[Pre-Chorus]
All these roads steer me wrong
But I still drive them all night long
All night long

[Chorus]
All you young, wild girls
You make a mess of me
Yeah, you young, wild girls
You'll be the death of me, the death of me
All you young, wild girls
No matter what you do
Yeah, you young, wild girls
I'll always come back to you, come back to you

[Verse 2]
I get lost under these lights
I get lost in the words I say
Start believing my own lies
Like everything will be okay
Oh I still dream of a simple life
Boy meets girl, makes her his wife
But love don't exist when you live like this
That much I know, yes I know

[Pre-Chorus]
All these roads steer me wrong
But I still drive them all night long
All night long

[Chorus]
All you young, wild girls
You make a mess of me
Yeah, you young, wild girls
You'll be the death of me, the death of me
All you young, wild girls
No matter what you do
Yeah, you young, wild girls
I'll always come back to you, come back to you

[Bridge]
You, you, you, you
Yeah you you you
You you you you

[Chorus]
All you young, wild girls
You make a mess of me
Yeah, you young, wild girls
You'll be the death of me, the death of me
All you young, wild girls
No matter what you do
Yeah, you young, wild girls
I'll always come back to you, come back to you"
Locked Out of Heaven,"[Intro]
(One, two, one, two, three)
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

[Verse 1]
Never had much faith in love or miracles
Never wanna put my heart on the line
But swimming in your water's something spiritual
I'm born again every time you spend the night

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah yeah yeah

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Post-Chorus]
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

[Verse 2]
You bring me to my knees, you make me testify
You can make a sinner change his ways
Open up your gates cause I can't wait to see the light
And right there is where I wanna stay

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah yeah yeah

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Bridge]
Oh-oh-oh-oh, yeah yeah yeah
Can I just stay here?
Spend the rest of my days here?
Oh-oh-oh-oh, yeah yeah yeah
Can I just stay here?
Spend the rest of my days here?

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Outro]
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!"
Gorilla,"[Verse 1]
Ooh, I got a body full of liquor
With a cocaine kicker
And I'm feeling like I'm thirty feet tall
So lay it down, lay it down
You got your legs up in the sky
With the devil in your eyes
Let me hear you say you want it all
Say it now, say it now

[Pre-Chorus]
Look what you're doing
Look what you've done
But in this jungle you can't run
Cause what I got for you, I promise it's a killa
You'll be banging on my chest, bang bang, gorilla

[Chorus]
Ooh, yeah
You and me, baby, making love like gorillas
Ooh, yeah
You and me, baby, making love like gorillas

[Verse 2]
Yeah, I got a fistful of your hair
But you don't look like you're scared
You're just smiling, tell me ""Daddy, it's yours""
Cause you know how I like it you's a dirty little lover
If the neighbors call the cops
Call the sheriff, call the SWAT, we don't stop
We keep rocking while they knocking on our door
And you're screaming, ""Give it to me baby
Give it to me, motherfucker!""

[Pre-Chorus]
Look what you're doing
Look what you've done
But in this jungle you can't run
Cause what I got for you, I promise it's a killa
You'll be banging on my chest, bang bang, gorilla

[Chorus]
Ooh, yeah
You and me, baby, making love like gorillas
Ooh, yeah
You and me, baby, making love like gorillas

[Bridge]
I bet you never ever felt so good, so good
I got your body trembling like it should, it should
You'll never be the same, baby, once I'm done with
Yoo-oo-oo-oo-oou, yeah

[Breakdown]
You, you, you...

[Chorus]
Oho, you with me, baby, making love like gorillas
Oh, oh, oh, oh yeah
Yeah, you and me ,baby, we'll be fucking like gorillas
(Oh...)
Yeah, yeah, yeah, baby baby, aw, yeah
You and me baby, making love like gorillas

[Live Verse]
Girl, let me take my time, take my time, take my time, babe
I just want one smile, want one smile, want one smile, babe
Once I lay besides you, girl, I will make you scream, ""yeah, yeah""
Girl, let me take my time, take my time, take my time, babe
I just want one smile, want one smile, want one smile, babe
Once I get inside you, girl, I will make you scream, ""yeah, yeah, yeah""
Come on (etc.)
Yeah, yeah, yeah"
Treasure,"[Intro]
Baby squirrel, you's a sexy mother-fucker

[Verse 1]
Gimme your, gimme your, gimme your attention, baby
I gotta tell you a little somethin' about yourself!
You're wonderful, flawless, ooh you're a sexy lady
But you walk around here like you wanna be someone else

[Pre-Chorus]
I know that you don't know it, but you're fine, so fine
Oh girl I'm gonna show you when you're mine, oh mine

[Chorus]
Treasure, that is what you are
Honey you're my golden star
You know you can make my wish come true
If you let me treasure you
If you let me treasure you

[Verse 2]
Pretty girl, pretty girl, pretty girl you should be smiling
A girl like you should never look so blue
You're everything I see in my dreams
I wouldn't say that to you if it wasn't true

[Pre-Chorus]
I know that you don't know it, but you're fine, so fine
Oh girl I'm gonna show you when you're mine, oh mine

[Chorus]
Treasure, that is what you are
Honey you're my golden star
You know you can make my wish come true
If you let me treasure you
If you let me treasure you

[Interlude]
You are my treasure, you are my treasure
You are my treasure, yeah, you you you, you are
You are my treasure, you are my treasure
You are my treasure, yeah, you you you, you are

[Chorus]
Treasure, that is what you are
Honey you're my golden star
You know you can make my wish come true
If you let me treasure you
If you let me treasure you"
Moonshine,"[Verse 1]
Hello
You know you look even better
Than the way you did the night before
And the moment that you kiss my lips
You know, I start to feel wonderful
It's something incredible
There's sex in your chemicals, oh
Ooh, let's go
You're the best way I know to escape the extraordinary
This world ain't for you
And I know for damn sure this world ain't for me
Lift off and say goodbye
Just let your fire set me free

[Chorus]
Oh, moonshine, take us to the stars tonight
Take us to that special place
That place we went the last time
The last time

[Verse 2]
I know
I was with you last night, but it feels like it's been so long
And everybody that's around
They notice that I'm not myself when you're gone
It's good to see you again
Good to see you again
On top of the world
Is where I stand when you're back in my life
Life's not so bad when you're way up this high
Everything is alright
Everything is alright

[Chorus]
Oh, moonshine, take us to the stars tonight
Take us to that special place
That place we went the last time
The last time
Oh, moonshine, your loving makes me come alive
Take us to that special place
That place we went the last time
The last time

[Bridge]
Don't look down, don't you ever look back
We are not afraid to die young and live fast
Give me good times, give me love, give me laughs
Let's take a ride to the sky before the night is gone

[Chorus]
Oh, moonshine, take us to the stars tonight
Take us to that special place
That place we went the last time
The last time
Oh, moonshine, your loving makes me come alive
Take us to that special place
That place we went the last time
The last time"
When I Was Your Man,"[Verse 1]
Same bed but it feels just a little bit bigger now
Our song on the radio but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name

[Pre-Chorus]
It all just sounds like oooooh ooh
Mmm, too young, too dumb to realize

[Chorus]
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man

[Verse 2]
My pride, my ego, my needs, and my selfish ways
Caused a good, strong woman like you to walk out my life
Now I'll never, never get to clean up the mess I made (oh)
And it haunts me every time I close my eyes

[Pre-Chorus]
It all just sounds like oooooh ooh
Mmm, too young, too dumb to realize

[Chorus]
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man

[Bridge]
Although it hurts
I'll be the first to say that I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know

[Chorus]
I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you loved to dance
Do all the things I should have done
When I was your man

[Outro]
Do all the things I should have done
When I was your man"
