Title,Lyrics
Natalie,"[Verse 1]
Oh, I've never done this before
Never want to do this again
Wrong turn, on a dusty road
I did it to myself, I can't pretend
Well I learned just a little too late
Good God, I must have been blind
Cause she got me for everything
Everything, everything, alright
Like my daddy, I'm a gambling man
Never been afraid to roll the dice
But when I put my bet on her
Little Miss Snake Eyes ruined my life
She better sleep with one eye open
Better make sure to lock her doors
Cause once I get my hands on her, I'ma ooh

[Chorus]
Natalie, she ran away with all my money
And she did it for fun
Natalie, she's probably out there thinking it's funny
Telling everyone
Well, I'm digging a ditch for this gold digging bitch
Watch out, she's quick
Look out for a pretty little thing named Natalie
If you see her, tell her I'm coming
She better run

[Verse 2]
The good lord better bless your soul
Cause I done already cursed your name
Don't matter which way you go
Payback's gonna come your way
You'll be begging me, ""Please, please, please""
And I'ma look at you and laugh, laugh, laugh
While you sit there and cry for me, cry for me
Cry for me all night
I'll spend a life time in jail
(Yeah, that's what I'll do)
I'll be smiling in my cell
(Yeah, thinking 'bout you)
Can't nobody save you now
Sure there ain't no use in trying
Once I get my hands on you, I'ma ooh

[Chorus]
Natalie, she ran away with all my money
And she did it for fun
Natalie, she's probably out there thinking it's funny
Telling every one
Well, I'm digging a ditch for this gold digging bitch
Watch out, she's quick
Look out for a pretty little thing named Natalie
If you see her, tell her I'm coming
She better run

[Bridge]
I should've known better
(I should've known better)
Cause when we were together
(Cause when we were together)
She never said forever
(She never said forever)
I'm a fool that played in her game, hey!

[Chorus]
Natalie, she ran away with all my money
And she did it for fun
Natalie, she's probably out there thinking it's funny
Telling every one
Well, I'm digging a ditch for this gold digging bitch
Watch out, she's quick
Look out for a pretty little thing named Natalie
If you see her, tell her I'm coming
She better run"
Show Me,"[Intro]
Oh yeah, oh yeah
Baby, here we are again, ooh

[Verse 1]
I can see it in your eyes, you want a good time
You wanna put your body on mine
Alright, but don't change your mind
Don't you change it, oh no
Oh yeah, you called me today
Drove all this way, so don't let this buzz go to waste, oh no
Your pleasure, pleasure island is where we can go

[Pre-Chorus]
No, I won't think you're easy, no, I won't think you're fast
Your eyes say amazing, but your lips came to ask
No need to fight it, when you know it feels alright
You say you're a woman who knows what she likes

[Chorus]
Then show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah
Girl, show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah

[Verse 2]
Love the way that you laugh, the way that you smile
Makes me feel like you've been waiting a while
But guess what darling? I've been waiting too
So let's grind, we can get freaky tonight
Right is your ticket to ride
Tell me girl what you gon' do

[Pre-Chorus]
No, I won't think you're easy, no, I won't think you're fast
Your eyes say amazing, but your lips came to ask
No need to fight it, when you know it feels alright
You say you're a woman who knows what she likes

[Chorus]
Then show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah
Girl, show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah

[Bridge]
It's getting freaky in this room, room, room
Now let me hear you say you want that boom, boom, boom
We can take it slow, we can zoom, zoom, zoom
Baby, if you're ready for that uh-uh-uh
It's getting freaky in this room, room, room
Now let me hear you say you want that boom, boom, boom
We can take it slow, we can zoom, zoom, zoom
Baby, if you're ready for that uh-uh-uh

[Chorus]
Then show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah
Girl, show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah"
Money Make Her Smile,"[Instrumental break]

[Verse 1]
All you 'get back, coming to the stage'
Is a girl who's new in town
She go by the name 'Where Your Stacks At?'
This pretty little thing, I swear, won't let you down
Watch her drop it like, (dat..) hey!

[Chorus]
Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile

[Verse 2]
She's a super freak
You wouldn't know it if you saw her outside these velvet walls
No, she don't go where preachers preach
She only go to the church where dollars fall
Watch her drop it like, (dat..) hey!

[Chorus]
Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile

[Breakdown]
Yeah, yeah, yeah, yeah
Watch her
(Give her what you got, give her, give her what you got...)

[Chorus]
Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile"
If I Knew,"[Verse 1]
Oh, oh, oh I, I was a city boy
Riding to dangers where I'd always run
A boy who had his fun
But I wouldn't have done
All the things that I have done
If I knew one day you'd come
Now baby (now baby) now baby (now baby)

[Verse 2]
Oh, oh, oh I, I know it breaks your heart
To picture the only one you want to love
In someone else's arms
But I wouldn't have done
All the things that I have done
If I knew one day you'd come
Now baby (now baby) now baby (now baby)

[Bridge]
Oh baby, please, let's leave the past behind us
Behind us
So that we can go where love will find us
Yeah, will find us
I know most girls would leave me
But I know that you believe me

[Verse 3]
Baby, I, I wish we were seventeen
So I could give you all the innocence
That you give to me
No, I wouldn't have done
All the things that I've done
If I knew one day you'd come
If I knew one day you'd come"
24K Magic,"[Intro]
Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

[Chorus]
Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 1]
Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues

[Pre-Chorus]
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 2]
Second verse for the hustlas (hustlas)
Gangstas (gangstas)
Bad bitches and ya ugly ass friends (Haha)
Can I preach? (Uh oh) Can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (Whoop, whoop)
We too fresh
Got to blame it on Jesus
Hashtag blessed
They ain't ready for me

[Pre-Chorus]
I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Bridge]
(Wooh)
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Now, now, now
Watch me break it down like (Uh)
24 karat, 24 karat magic
What's that sound?
24 karat, 24 karat magic
Come on now
24 karat, 24 karat magic
Don't fight the feeling
Invite the feeling

[Chorus]
Just put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
24 karat magic in the air
Head to toe so player
(24 karat)
Uh, look out

[Outro]
(24 karat magic, magic, magic)"
Chunky,"[Verse 1]
She got to shake her little something
(Shake her little something)
Ooh, throwin' that thing from left, right, side to side
She got to have her own money
(She got her own money)
Oh, yeah
Shout out to the girls that pay they rent on time

[Pre-Chorus]
If you ain't here to party, take your ass back home
If you getting naughty, baby, here's my phone
Slide with your boy to the bar
Slide with your boy to the car
I've been searchin' everywhere and now here you are

[Chorus]
Ooh, chunky
Lookin' for them girls with the big ol' hoops
That drop it down in Daisy Dukes
(I wanna get down)
Yeah, them the ones I’m tryna recruit
I'm lookin' at you
Yeah, you, baby

[Verse 2]
Now let me hear you say you ready
(I'm ready)
Oh, yeah
Girl, you better have your hair weave strapped on tight
'Cause once we get goin', we rollin'
We'll cha-cha 'til the morning
So just say alright
(Alright)

[Pre-Chorus]
If you ain't here to party, take your ass back home
If you getting naughty, baby, here's my phone
Slide with your boy to the bar
Slide with your boy to the car
I've been searchin' everywhere and now here you are

[Chorus]
Ooh, chunky
Lookin' for them girls with the big ol' hoops
That drop it down in Daisy Dukes
(I wanna get down)
Yeah, them the ones I’m tryna recruit
I'm looking at you
Yeah, you, baby
(Baby, baby, baby)

[Bridge]
Ow, you got what I want
(I got what you want)
Girl, you got what I need
(I got what you need)
37-27-42
Ooh, squeeze all of that into my coupe
Girl, I-I choo-choose you

[Chorus]
Chunky
Lookin' for them girls with the big ol' hoops
That drop it down in Daisy Dukes
(I wanna get down)
Yeah, them the ones I’m tryna recruit, woah
I'm lookin' at you
Yeah, you, baby
Chunky
Oh, oh, oh, oh
Lookin' for them girls with the big ol' hoops, hoops
That drop it down in Daisy Dukes
(I wanna get down)
Yeah, them the ones I’m tryna recruit
Hey, I'm looking at you
Yeah, you, baby
(Baby, baby, baby)"
Perm,"[Intro: Unnamed Man & Bruno Mars]
Now look at you, been walking in here looking all pretty and angry and mean and good
Now I know you didn't get your hair done so you could just sit down and just sit still
Aye, we tryna have a good time tonight, let's go baby!

[Verse 1: Bruno Mars and (Backing Vocalists)]
It's my birthday
(No it's not)
But I still look good though
(Hot comb hot)
I bet you want an autograph
(For you and your friends)
Gotta do it in the penthouse
That's where I keep my pen

[Pre-Chorus]
What you can't dance? Ain't got rhythm?
What you got a man? I don't see you with him
Put your phone down, let's get it
Forget your Instagram and your Twitter
Got me like woah, wait a minute
You need to take a minute
Loosen them shoulders up
Pour it up, let's work

[Chorus]
Throw some perm on your attitude
Girl you gotta relax, ooh
Let me show you what you got to do
You gotta lay it back
Matter of fact? Band, show her how to lay it back!
Show her how to lay it back
Show her how to lay it back
Show her how to lay it back
Alright!

[Verse 2: Bruno Mars and (Backing Vocalists)]
Come on baby I love you
(No you don't)
You never know, I might though
(Can't say I won't, ah)
There's that smile I'm looking for
(Was that so hard?)
If you ever need to smile again girl, take my card

[Pre-Chorus]
Razzle-dazzle, never gon' stop
What you want is what I got
You wanna get down? You gotta get up
Don't be stingy with your big ol' butt
You got a booty like
Woah, wait a minute
I'm just playing with you
Loosen them shoulders up
Pour it up, let's work

[Chorus]
Throw some perm on your attitude
Girl you gotta relax, ooh
Let me show you what you got to do
You gotta lay it back
Matter of fact? Band, show her how to lay it back!
Show her how to lay it back
Show her how to lay it back
Show her how to lay it back
Alright!

[Interlude]
Aye, now you got it baby. You tryna have some fun tonight, you just gotta follow these simple instructions, you ready?

[Bridge]
You need activate your sexy (activate your sexy)
Silky, smooth and snap (silky, smooth and snap)
Now lean with it (lean), throw a lil sheen in it (sheen)
Then pat, pat, pat 'til it's flat
One more time
You need activate your sexy (activate your sexy)
Silky, smooth and snap (silky, smooth and snap)
Now lean with it (lean), throw a lil sheen in it (sheen)
Then pat, pat, pat 'til it's flat

[Chorus]
I'll sing it again
Throw some perm on your attitude
Girl you gotta relax, ooh
Let me show you what you got to do
You gotta lay it back
Matter of fact? Band, show her how to lay it back!
Show her how to lay it back
Show her how to lay it back
Show her how to lay it back
Alright!"
That's What I Like,"[Verse 1]
Hey, hey, hey
I got a condo in Manhattan
Baby girl, what's  hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami (-ami)
Wake up with no jammies (Nope)
Lobster tail for dinner
Julio serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

[Pre-Chorus]
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

[Verse 2]
I'm talkin' trips to Puerto Rico
Say the word and we go (Say it)
You can be my freaka (Brrrt!)
Girl, I'll be a fleeko
Mamacita
I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris
Everything 24 karats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (Is it you?) Is it me? (Is it me?)
Say it's us (Say it's us) and I'll agree, baby

[Pre-Chorus]
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

[Bridge]
If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind (What's on your mind)
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like"
Versace on the Floor,"[Verse 1]
Let's take our time tonight, girl
Above us all the stars are watchin'
There's no place I'd rather be in this world
Your eyes are where I'm lost in
Underneath the chandelier
We're dancin' all alone
There's no reason to hide
What we're feelin' inside
Right now

[Pre-Chorus]
So, baby, let's just turn down the lights
And close the door
Oooh I love that dress
But you won't need it anymore
No, you won't need it no more
Let's just kiss 'til we're naked, baby

[Chorus]
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl

[Verse 2]
Now I unzip the back to watch it fall
While I kiss your neck and shoulders
No, don't be afraid to show it all
I'll be right here ready to hold you
Girl, you know you're perfect from
Your head down to your heels
Don't be confused by my smile
'Cause I ain't ever been more for real, for real

[Pre-Chorus]
So just turn down the lights
And close the door
Oooh I love that dress
But you won't need it anymore
No, you won't need it no more
Let's just kiss 'til we're naked, baby

[Chorus]
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl
Dance

[Bridge]
It's warmin' up
Can you feel it?
It's warmin' up
Can you feel it?
It's warmin' up
Can you feel it, baby?
It's warmin' up
Oh, seems like you're ready for more, more, more
Let's just kiss 'til we're naked

[Chorus]
Versace on the floor
Hey, baby
Take it off for me, for me, for me, for me now, girl
Versace on the floor
Oooh take it off for me, for me, for me, for me now, girl

[Outro]
Versace on the floor
Floor
Floor"
Straight Up & Down,"[Verse 1]
Girl I bet your momma named  you good lookin'
'Cause you sure look good to me
My attention, oh, yes, you just took it
You're probably the finest thing that I ever seen
And nobody at the party droppin' it low like the way that you do

[Pre-Chorus]
You got me sayin', ""Damn girl, break it down for me""
Take it nice and slow, let me watch while you turn around
Just back it up on me girl, right now, right now

[Chorus]
I got your body rockin' side to side (Straight up!)
I put you on and now you're feelin' right (Straight up!)
I know exactly what is on your mind (Straight up!)
Oh baby we gon' have some fun tonight
Straight up and down
(Straight up, straight up, straight up)
Straight up and down
(Straight up, straight up, straight up)
Oh I know exactly what is on your mind
Oh baby we gon' have some fun tonight
Straight up and down

[Verse 2]
This liquor got both of us faded, so gone, so gone, so gone
But your booty deserve a celebration
And I'm gonna celebrate it all night long
Come on here and show me why you got the whole club starin' at you

[Pre-Chorus]
You got me sayin', ""Damn girl, break it down for me""
Take it nice and slow, let me watch while you turn around
Just back it up on me girl, right now, right now

[Chorus]
I got your body rockin' side to side (Straight up!)
I put you on and now you're feelin' right (Straight up!)
I know exactly what is on your mind (Straight up!)
Oh baby we gon' have some fun tonight
Straight up and down
(Straight up, straight up, straight up)
Straight up and down
(Straight up, straight up, straight up)
Oh I know exactly what is on your mind
Oh baby we gon' have some fun tonight
Straight up and down

[Bridge]
Girl tell me when you're ready
Ready to go
Just say the word
And then we'll take this home
Don't you fight the feelin'
'Cause I feel it too
Freakin' me baby, while I'm freakin' you

[Chorus]
I got your body rockin' side to side (Straight up!)
I put you on and now you're feelin' right (Straight up!)
I know exactly what is on your mind (Straight up!)
Oh baby we gon' have some fun tonight
Straight up and down
(Straight up, straight up, straight up)
Straight up and down
(Straight up, straight up, straight up)
Oh I know exactly what is on your mind
Oh baby we gon' have some fun tonight
Straight up and down"
Calling All My Lovelies,"[Verse 1]
I got too many girls on hold for you to be so bold
Too many on my team for you to act so mean
You say you wanna go and have fun, well you ain't the only one
If I ring, don't let it ring too long or I'm gone

[Pre-Chorus]
I got Alicia waitin', Aisha waitin'
All the eesha's waitin' on me
So why you contemplatin'? Playa hatin'?
If this is how it's gonna be

[Chorus]
I'm calling all my lovelies (calling all my lovelies)
'Cause I can't get a hold of you
Since you ain't thinking of me (since you ain't thinking of me)
Oh, look what you're making me do

[Verse 2]
Honey pie, I'm far too fly to be on standby
Sendin' me straight to voicemail, suga, what the hell?
Oh, you ought to be ashamed, playin' these childish games
I don't get down like that, tell me where you at, hit me back

[Pre-Chorus]
I got Alicia waitin', Aisha waitin'
All the eesha's waitin' on me
So why you contemplatin'? Playa hatin'?
If this is how it's gonna be

[Chorus]
I'm calling all my lovelies (calling all my lovelies)
'Cause I can't get a hold of you
Since you ain't thinking of me (since you ain't thinking of me)
Oh, look what you're making me do

[Bridge]
Pick up the phone, pick up the phone
'Cause all this loving needs a home
Oh no, look at what you started, baby
Now I'm left here broken hearted, baby
There's a pain in my chest I cannot explain
I told myself I wasn't gon' cry
But somebody's gotta come dry these eyes 'cause

Hi, you've reached Halle Berry. Sorry I can't get to the phone right now but if you leave your name and number, I'll get right back to you

Damn...

[Chorus]
I'm calling calling calling calling all my lovelies
'Cause I can't get a hold of you
Oh, since you ain't thinking of me (since you ain't thinking of me, baby)
Look what you're making me do

[Outro]
Pick up the phone, pick up the phone
'Cause all this loving needs a home, oh"
Finesse,"[Verse 1]
Ooh, don't we look good together?
There's a reason why they watch all night long
Yeah, know we'll turn heads forever
So tonight I'm gonna show you off

[Pre-Chorus]
When I'm walkin' with you
I watch the whole room change
Baby, that's what you do
No my baby don't play
Blame it on my confidence
Oh, blame it on your measurements
Shut that shit down on sight
That's right

[Chorus]
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it

[Verse 2]
Now slow it down for me baby
'Cause I love the way it feels when we grind
Yeah, our connection's so magnetic on the floor
Nothing can stop us tonight

[Pre-Chorus]
When I'm walkin' with you
I watch the whole room change
Baby, that's what you do
No my baby don't play
Blame it on my confidence
Oh, blame it on your measurements
Shut that shit down on sight
That's right

[Chorus]
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it

[Bridge]
Fellas, grab your ladies if your lady fine
Tell her she the one, she the one for life (woo)
Ladies, grab your fellas and let's do this right (do this right)
If you're on one like me in mind (ow!)
Yeah, we got it goin' on, got it goin' on
Don't it feel so good to be us? (ayy)
Yeah, we got it goin' on, got it goin' on (yeah)
Girl, we got it goin' on
Yeah, we got it goin' on, got it goin' on (hey)
Don't it feel so good to be us, ayy? (feels so good on you)
Yeah, we got it goin' on, got it goin' on

[Chorus]
We out here drippin' in finesse (we drippin' on them)
It don't make no sense
Out here drippin' in finesse
You know it, you know it
We out here drippin' in finesse with my baby
It don't make no sense
Out here drippin' in finesse
You know it, you know it (yeah, you know we got it goin' on)

[Outro]
Yeah, we got it goin' on, got it goin' on
Don't it feel so good to be us, ayy?
Yeah, we got it goin' on, got it goin' on
You know it, you know it
Yeah, we got it goin' on, got it goin' on
Girl, we got it
Don't it feel so good to be us, ayy?
Yeah, we got it goin' on, got it goin' on
You know it, you know it"
Too Good to Say Goodbye,"[Verse 1]
I've made mistakes
I could have treated you better
I let you get away
There goes my happily ever after

[Pre-Chorus]
Tell me why, why can't we try and start again?
This can't be how our story ends
You're more than my girl, you're my best friend
Tell me you remember when
Ooh, when I was your man and you were my girl
It was you and me against the world

[Chorus]
Baby, ain't nobody gonna love me like the way you do
And you ain't never gonna find a love like mine
Tell me what can I do to make it up to you?
'Cause what we got's too good to say goodbye, goodbye

[Verse 2]
Yeah, I'm still in love with you darlin'
I know you feel the same
Oh, what's the point of both of us being broken-hearted?
I pray it's never too late

[Pre-Chorus]
So tell me, why, why can't we try and start again?
This can't be how our story ends
You're more than my girl, you're my best friend
Tell me you remember when
I was your man and you were my girl
It was you and me against the world

[Chorus]
Baby, ain't nobody gonna love me like the way you do
And you ain't never gonna find a love like mine
Tell me what can I do to make it up to you?
'Cause what we got's too good to say goodbye, goodbye

[Bridge]
(Oh, don't you give up)
Girl won't you listen?
(Don't you give up)
It's you that I'm missin'
(Don't you give up)
Take my hand, I wanna go, I wanna go
(All the way)
If we're gonna fight this fight for better days
I know we're gonna make it
This is the chance, let's take it

[Chorus]
Baby, ain't nobody gonna love me like the way you do
(No, no, no, no)
And you ain't never gonna find a love like mine
(Oh, tell me)
Tell me what can I do to make it up to you?
'Cause what we got's too good to say goodbye
(Come on, come on) goodbye (Oh baby, baby)
Baby, ain't nobody gonna love me like the way you do
And you ain't never gonna find a love like mine
(Oh, tell me)
Tell me what can I do to make it up to you?
'Cause what we got's too good to say goodbye, goodbye"
