Song Title,Raw Data,Preprocessed
Grenade,"[Verse 1]
Easy come, easy go, that's just how you live, oh
Take, take, take it all, but you never give
Shoulda known you was trouble from the first kiss
Had your eyes wide open; why were they open? (Ooh)

[Pre-Chorus]
Gave you all I had and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever ask
'Cause what you don't understand is

[Chorus]
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah)
Oh, oh-oh oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya baby
But you won't do the same

[Post-Chorus]
No, no, no, no, oh-oh oh...

[Verse 2]
Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said ""Hey"" when you get back to where you're from
Mad woman, bad woman, that's just what you are
Yeah, you'll smile in my face then rip the brakes out my car

[Pre-Chorus]
Gave you all I had and you tossed it in the trash
You tossed it in the trash; yes, you did!
To give me all your love is all I ever ask
'Cause what you don't understand is

[Chorus]
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah)
Oh, oh-oh oh oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same

[Bridge]
If my body was on fire
Ooh, you'd watch me burn down in flames
You said you loved me, you're a liar
Cause you never, ever, ever did, baby

[Chorus]
But darlin', I'd still catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah)
Oh, oh-oh oh-oh, I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for ya, baby
But you won't do the same

[Outro]
No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no oh-oh oh",easy come easy go live oh take take take never give shoulda known trouble first kiss eye wide open open ooh gave tossed trash tossed trash give love ever ask understand I would catch grenade ya yeah yeah yeah throw hand blade ya yeah yeah yeah I would jump front train ya yeah yeah yeah know I would anything ya yeah yeah yeah oh ohoh oh oh would go pain take bullet straight brain yes would die ya baby ohoh oh black black black blue beat til I numb tell devil said hey get back mad woman bad woman yeah smile face rip brake car gave tossed trash tossed trash yes give love ever ask understand I would catch grenade ya yeah yeah yeah throw hand blade ya yeah yeah yeah I would jump front train ya yeah yeah yeah know I would anything ya yeah yeah yeah oh ohoh oh oh would go pain take bullet straight brain yes would die ya baby body fire ooh would watch burn flame said loved liar never ever ever baby darlin I would still catch grenade ya yeah yeah yeah throw hand blade ya yeah yeah yeah I would jump front train ya yeah yeah yeah know I would anything ya yeah yeah yeah oh ohoh ohoh would go pain take bullet straight brain yes would die ya baby would ooh would never ohoh oh
Just the Way You Are,"[Verse 1]
Oh, her eyes, her eyes
Make the stars look like they're not shinin'
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her every day
Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are

[Verse 2]
Her lips, her lips
I could kiss them all day if she'd let me
Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful, and I tell her every day
Oh you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are

[Post-Chorus]
The way you are
The way you are
Girl, you're amazing just the way you are

[Chorus]
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for a while
'Cause, girl, you're amazing just the way you are, yeah",oh eye eye make star look like shinin hair hair fall perfectly without trying beautiful tell every day yeah know know compliment believe sad think see see every time asks look okay say see face thing would change amazing way smile whole world stop stare girl amazing way lip lip could kiss day would let laugh laugh hate think sexy beautiful tell every day oh know know know I would never ask change perfect searching stay even bother asking look okay know I say see face thing would change amazing way smile whole world stop stare girl amazing way way way girl amazing way see face thing would change amazing way smile whole world stop stare girl amazing way yeah
Our First Time,"[Refrain]
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby

[Verse 1]
Na-na-na, here we are, here we are
In this big old empty room, staring at each other
Who's gonna make the first move?
Been doing our thing for a minute
And now both our hearts are in it
The only place to go is all the way

[Chorus]
Is that alright? Is that okay?
Girl, no need to be nervous
Cause I got you all night
Don't you worry about a thing, babe
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time

[Verse 2]
Clothes are not required
For what we got planned
Ooh, girl, you're my desire
Your wish is my command
Treat you like a princess
Ooh, girl, you're so delicious
Like ice cream on a sunny day
Gonna eat you before you melt away

[Chorus]
Is that alright? Is that okay?
Girl, no need to be nervous
Cause I got you all night
Don't you worry about a thing, babe
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time

[Refrain]
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby
Don't it feel good, babe?
Don't it feel good, baby?
Cause it's so brand new, babe
It's so brand new, baby

[Chorus]
Just go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time
Go with it, go with it, go with it
And I will go real slow with it, slow with it
It's our first time",feel good babe feel good baby brand new babe brand new baby feel good babe feel good baby brand new babe brand new baby nanana big old empty room staring going make first move thing minute heart place go way alright okay girl need nervous got night worry thing babe go go go go real slow slow first time go go go go real slow slow first time clothes required got planned ooh girl desire wish command treat like princess ooh girl delicious like ice cream sunny day going eat melt away alright okay girl need nervous got night worry thing babe go go go go real slow slow first time go go go go real slow slow first time feel good babe feel good baby brand new babe brand new baby feel good babe feel good baby brand new babe brand new baby go go go go real slow slow first time go go go go real slow slow first time
Runaway Baby,"[Intro]
Oh yes

[Verse 1]
Well, looky here, looky here
Ah, what do we have?
Another pretty thing ready for me to grab
But little does she know that I'm a wolf in sheep's clothing
'Cause at the end of the night, it is her I'll be holding

[Pre-Chorus]
I love you so
That's what you'll say
You'll tell me, ""Baby, baby, please don't go away...""
But when I play, I never stay
So every girl that I meet, yeah, this is what I say

[Chorus]
Run, run, run away, run away, baby
Before I put my spell on you
You better get, get, get away, get away, darlin'
'Cause everything you heard is true
Your poor little heart will end up alone
'Cause Lord knows I'm a rollin' stone
So you better run, run, run away, run away, baby

[Verse 2]
Well, let me think, let me think
Ah, what should I do?
So many eager young bunnies that I'd like to pursue
Now even though they eating out the palm of my hand
There's only one carrot and they all gotta share it

[Pre-Chorus]
I love you so
That's what you'll say
You'll tell me, ""Baby, baby, please don't go away...""
But when I play, I never stay
So every girl that I meet, yeah, this is what I say

[Chorus]
Run, run, run away, run away, baby
Before I put my spell on you
You better get, get, get away, get away, darlin'
'Cause everything you heard is true
Your poor little heart will end up alone
'Cause Lord knows I'm a rollin' stone
So you better run, run, run away, run away, baby

[Bridge]
See, I ain't trynna' hurt you, baby, no, no
No, I just wanna work you, baby, yup, yup
See, I ain't trynna' hurt you, baby, no, no
No, I just wanna work you, baby
If you scared you better run
(You better run) you better run
(You better run) you better run
You better, you better, you better

[Chorus]
Run, run, run away, run away, baby
Before I put my spell on you
You better get, get, get away, get away, darlin'
'Cause everything you heard is true
Your poor little heart will end up alone
'Cause Lord knows I'm a rollin' stone
So you better run, run, run away, run away, baby",oh yes well looky looky ah another pretty thing ready grab little know I wolf sheep clothing end night I holding love say tell baby baby please go away play never stay every girl meet yeah say run run run away run away baby put spell better get get get away get away darlin everything heard true poor little heart end alone lord know I rollin stone better run run run away run away baby well let think let think ah many eager young bunny I would like pursue even though eating palm hand one carrot got share love say tell baby baby please go away play never stay every girl meet yeah say run run run away run away baby put spell better get get get away get away darlin everything heard true poor little heart end alone lord know I rollin stone better run run run away run away baby see trynna hurt baby want work baby yup yup see trynna hurt baby want work baby scared better run better run better run better run better run better better better run run run away run away baby put spell better get get get away get away darlin everything heard true poor little heart end alone lord know I rollin stone better run run run away run away baby
Lazy Song,"[Chorus]
Today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything

[Verse 1]
I'm gonna kick my feet up, then stare at the fan
Turn the TV on, throw my hand in my pants
Nobody's gonna tell me I can't
I'll be lounging on the couch
Just chillin' in my Snuggie
Click to MTV, so they can teach me how to dougie
'Cause in my castle I'm the freaking man

[Pre-Chorus]
Oh oh, yes I said it
I said it, I said it, 'cause I can

[Chorus]
Today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything
Nothing at all
Nothing at all

[Verse 2]
Tomorrow, I'll wake up, do some P90X
Meet a really nice girl, have some really nice sex
She's gonna scream out, ""This is great!""
(Oh my god, this is great)
Yeah, I might mess around and get my college degree
I bet my old man will be so proud of me
But sorry pops, you'll just have to wait

[Pre-Chorus]
Oh oh, yes I said it
I said it, I said it, 'cause I can

[Chorus]
Today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything

[Bridge]
No, I ain't gonna comb my hair
'Cause I ain't going anywhere
No, no, no, no, no, no, no, no, no
I'll just strut in my birthday suit
And let everything hang loose
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah

[Chorus]
Oh, today, I don't feel like doing anything
I just wanna lay in my bed
Don't feel like picking up my phone
So leave a message at the tone
'Cause today, I swear, I'm not doing anything
Nothing at all
Nothing at all",today feel like anything want lay bed feel like picking phone leave message tone today swear I anything I going kick foot stare fan turn tv throw hand pant nobody going tell I lounging couch chillin snuggie click mtv teach dougie castle I freaking man oh oh yes said said said today feel like anything want lay bed feel like picking phone leave message tone today swear I anything nothing nothing tomorrow I wake p90x meet really nice girl really nice sex going scream great oh god great yeah might mess around get college degree bet old man proud sorry pop wait oh oh yes said said said today feel like anything want lay bed feel like picking phone leave message tone today swear I anything going comb hair going anywhere I strut birthday suit let everything hang loose yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah oh today feel like anything want lay bed feel like picking phone leave message tone today swear I anything nothing nothing
Marry You,"[Chorus]
It's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna to marry you

[Verse 1]
Well, I know this little chapel on the boulevard we can go
No one will know
Oh, come on, girl
Who cares if we're trashed
Got a pocket full of cash we can blow
Shots of patron
And it's on, girl

[Pre-Chorus]
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready

[Chorus]
Cause it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna marry you, oh

[Verse 2]
I'll go get a ring, let the choir bells sing, like ooh
So what you wanna do?
Let's just run girl
If we wake up and you wanna break up, that's cool
No, I won't blame you
It was fun, girl

[Pre-Chorus]
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready

[Chorus]
Cause it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna marry you, oh

[Bridge]
Just say, ""I do...""
Tell me right now baby
Tell me right now baby, baby
Just say, ""I do...""
Tell me right now baby
Tell me right now baby, baby

[Chorus]
Oh, it's a beautiful night
We're looking for something dumb to do
Hey baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares baby, I think I wanna marry you",beautiful night looking something dumb hey baby think want marry look eye dancing juice care baby think want marry well know little chapel boulevard go one know oh come girl care trashed got pocket full cash blow shot patron girl say say yeah yeah yeah yeah yeah go go go go go ready like I ready beautiful night looking something dumb hey baby think want marry look eye dancing juice care baby think want marry oh I go get ring let choir bell sing like ooh want let u run girl wake want break cool blame fun girl say say yeah yeah yeah yeah yeah go go go go go ready like I ready beautiful night looking something dumb hey baby think want marry look eye dancing juice care baby think want marry oh say tell right baby tell right baby baby say tell right baby tell right baby baby oh beautiful night looking something dumb hey baby think want marry look eye dancing juice care baby think want marry
Talking to the Moon,"[Verse 1]
I know you're somewhere out there
Somewhere far away
I want you back, I want you back
My neighbors think I'm crazy
But they don't understand
You're all I have, you're all I have

[Pre-Chorus]
At night when the stars light up my room
I sit by myself...

[Chorus]
Talking to the moon
Trying to get to you
In hopes you're on the other side talking to me too
Or am I a fool, who sits alone, talking to the moon?

[Verse 2]
I'm feeling like I'm famous, the talk of the town
They say I've gone mad
Yeah, I've gone mad
But they don't know what I know
Cause when the sun goes down someone's talking back
Yeah, they're talking back, oh

[Pre-Chorus]
At night when the stars light up my room
I sit by myself...

[Chorus]
Talking to the moon
Trying to get to you
In hopes you're on the other side talking to me too
Or am I a fool, who sits alone, talking to the moon?

[Bridge]
Do you ever hear me calling?
Oh-oh-oh, oh-oh-oh
Cause every night, I'm talking to the moon

[Chorus]
Still trying to get to you
In hopes you're on the other side talking to me too
Or am I a fool, who sits alone, talking to the moon?

[Outro]
I know you're somewhere out there
Somewhere far away",know somewhere somewhere far away want back want back neighbor think I crazy understand night star light room sit talking moon trying get hope side talking fool sits alone talking moon I feeling like I famous talk town say I gone mad yeah I gone mad know know sun go someone talking back yeah talking back oh night star light room sit talking moon trying get hope side talking fool sits alone talking moon ever hear calling ohohoh ohohoh every night I talking moon still trying get hope side talking fool sits alone talking moon know somewhere somewhere far away
Liquor Store Blues,"[Intro: Damian Marley]
Now greetings to da world (all of you)
Vye here is da one called Bruno Mars 'long side gong to da zilla
(Ya know me, I roll)

[Verse 1: Bruno Mars]
Standing at this liquor store
Whiskey coming through my pores
Feeling like I run this whole block
Lotto tickets, cheap beer
That's why you can catch me here
Tryna scratch my way up to the top

[Pre-Chorus: Bruno Mars]
'Cause my job got me going nowhere
So I ain't got a thing to lose
Take me to a place where I don't care
This is me and my liquor store blues

[Chorus: Bruno Mars]
I'll take one shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow
One shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow

[Verse 2: Bruno Mars]
Me and my guitar, tonight
Singing to the city lights
Tryna leave with more than what I got
'Cause 68 cent just ain't gonna pay the rent
So I'll be out here 'til they call the cops

[Pre-Chorus: Bruno Mars]
'Cause my job got me going nowhere
So I ain't got a thing to lose
Take me to a place where I don't care
This is me and my liquor store blues

[Chorus: Bruno Mars]
I'll take one shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow
One shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow

[Verse 3: Damian Marley]
Here come Junior Gong
I'm flying high like Superman
And thinking that I run the whole block
I dunno if it's just because
Pineapple kush between my jaws
Has got me feeling like I'm on top
Feeling like I would stand up to de cops
And stand up to de bigga heads
Becaw de whole ah de ah saps
All de talk dem a talk
And dem fly make nah drop
Nuff ghetto youth cannot escape de trap

[Chorus: Bruno Mars]
Give me this one shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow
One shot for my pain
One drag for my sorrow
Get messed up today
I'll be okay tomorrow

[Outro Spoken: Damian Marley]
Now greetings to da world
Vyes to da one called Bruno Mars 'long side gong to da zilla
A.K.A. Damian junior gong Marley, yes sir
Ya best believe, ha ha (now neh)",greeting da world vye da one called bruno mar long side gong da zilla ya know roll standing liquor store whiskey coming pore feeling like run whole block lotto ticket cheap beer catch tryna scratch way top job got going nowhere got thing lose take place care liquor store blue I take one shot pain one drag sorrow get messed today I okay tomorrow one shot pain one drag sorrow get messed today I okay tomorrow guitar tonight singing city light tryna leave got 68 cent going pay rent I til call cop job got going nowhere got thing lose take place care liquor store blue I take one shot pain one drag sorrow get messed today I okay tomorrow one shot pain one drag sorrow get messed today I okay tomorrow come junior gong I flying high like superman thinking run whole block dunno pineapple kush jaw got feeling like I top feeling like would stand de cop stand de bigga head becaw de whole ah de ah sap de talk dem talk dem fly make nah drop nuff ghetto youth escape de trap give one shot pain one drag sorrow get messed today I okay tomorrow one shot pain one drag sorrow get messed today I okay tomorrow greeting da world vyes da one called bruno mar long side gong da zilla aka damian junior gong marley yes sir ya best believe ha ha neh
The Other Side,"[Verse 1: Bruno Mars]
Truth of the matter is I'm complicated
You're as straight as they come
You go 'bout your day, baby
While I hide from the sun
It's better if you don't understand
Cause you won't know what it's like until you try

[Chorus: Bruno Mars]
You know I, I've been waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole lifetime, but you just gotta decide
You know I, I've been waiting on the other
Waiting on the other side

[Verse 2: Cee-Lo Green]
We would live forever
Who could ask for more?
You could die if you wanted, but baby, what for?
It's better if you don't understand
And you won't know what it's like until you, try

[Chorus: Cee-Lo Green]
You know I, I've been waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole lifetime, but you just gotta decide
You know I, I've been waiting on the other
Waiting on the other side

[Verse 3: B.o.B.]
If they say life's a dream, call this insomnia
Cause this ain't Wonderland, it damn sure ain't Narnia
And once you cross the line, you can't change your mind
Yeah, I'm a monster, but I'm no Frankenstein
And quite frankly, I've been feelin' insane in between my eyes
I really can't explain what I feel inside
If you knew what I was, you would run and hide
Many have tried to go into the night
Cross over the line, and come back alive
But that's the price we pay when we living on the other side

[Chorus: Bruno Mars]
You know I, I've been waiting on the other side
And you, all you gotta do is cross the line
I could wait a whole lifetime, but you just gotta decide
You know I, I've been waiting on the other
Waiting on the other side

[Outro: B.o.B]
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand
It's better if you don't understand",truth matter I complicated straight come go bout day baby hide sun better understand know like try know I waiting side got cross line could wait whole lifetime got decide know I waiting waiting side would live forever could ask could die wanted baby better understand know like try know I waiting side got cross line could wait whole lifetime got decide know I waiting waiting side say life dream call insomnia wonderland damn sure narnia cross line change mind yeah I monster I frankenstein quite frankly I feelin insane eye really explain feel inside knew would run hide many tried go night cross line come back alive price pay living side know I waiting side got cross line could wait whole lifetime got decide know I waiting waiting side better understand better understand better understand better understand better understand better understand
