Song Title,Raw Data,Preprocessed
Young Girls,"[Verse 1]
I spend all my money
On a big, old fancy car
For these bright-eyed honeys
Oh yeah, you know who you are
Keep me up 'til the sun is high
'Til the birds start calling my name
I'm addicted and I don't know why
Guess I've always been this way

[Pre-Chorus]
All these roads steer me wrong
But I still drive them all night long
All night long

[Chorus]
All you young, wild girls
You make a mess of me
Yeah, you young, wild girls
You'll be the death of me, the death of me
All you young, wild girls
No matter what you do
Yeah, you young, wild girls
I'll always come back to you, come back to you

[Verse 2]
I get lost under these lights
I get lost in the words I say
Start believing my own lies
Like everything will be okay
Oh I still dream of a simple life
Boy meets girl, makes her his wife
But love don't exist when you live like this
That much I know, yes I know

[Pre-Chorus]
All these roads steer me wrong
But I still drive them all night long
All night long

[Chorus]
All you young, wild girls
You make a mess of me
Yeah, you young, wild girls
You'll be the death of me, the death of me
All you young, wild girls
No matter what you do
Yeah, you young, wild girls
I'll always come back to you, come back to you

[Bridge]
You, you, you, you
Yeah you you you
You you you you

[Chorus]
All you young, wild girls
You make a mess of me
Yeah, you young, wild girls
You'll be the death of me, the death of me
All you young, wild girls
No matter what you do
Yeah, you young, wild girls
I'll always come back to you, come back to you",spend money big old fancy car brighteyed honey oh yeah know keep til sun high til bird start calling name I addicted know guess I always way road steer wrong still drive night long night long young wild girl make mess yeah young wild girl death death young wild girl matter yeah young wild girl I always come back come back get lost light get lost word say start believing lie like everything okay oh still dream simple life boy meet girl make wife love exist live like much know yes know road steer wrong still drive night long night long young wild girl make mess yeah young wild girl death death young wild girl matter yeah young wild girl I always come back come back yeah young wild girl make mess yeah young wild girl death death young wild girl matter yeah young wild girl I always come back come back
Locked Out of Heaven,"[Intro]
(One, two, one, two, three)
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

[Verse 1]
Never had much faith in love or miracles
Never wanna put my heart on the line
But swimming in your water's something spiritual
I'm born again every time you spend the night

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah yeah yeah

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Post-Chorus]
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!

[Verse 2]
You bring me to my knees, you make me testify
You can make a sinner change his ways
Open up your gates cause I can't wait to see the light
And right there is where I wanna stay

[Pre-Chorus]
'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah yeah yeah

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Bridge]
Oh-oh-oh-oh, yeah yeah yeah
Can I just stay here?
Spend the rest of my days here?
Oh-oh-oh-oh, yeah yeah yeah
Can I just stay here?
Spend the rest of my days here?

[Chorus]
'Cause you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong
Yeah, you make me feel like
I've been locked out of heaven
For too lo-o-ong, for too lo-o-ong

[Outro]
Aw, yeah yeah yeah yeah, ooh!
Aw, yeah yeah
Aw, yeah yeah yeah yeah, ooh!",one two one two three aw yeah yeah aw yeah yeah yeah yeah ooh aw yeah yeah aw yeah yeah yeah yeah ooh never much faith love miracle never want put heart line swimming water something spiritual I born every time spend night sex take paradise yeah sex take paradise show yeah yeah yeah make feel like I locked heaven looong looong yeah make feel like I locked heaven looong looong aw yeah yeah yeah yeah ooh aw yeah yeah aw yeah yeah yeah yeah ooh bring knee make testify make sinner change way open gate wait see light right want stay sex take paradise yeah sex take paradise show yeah yeah yeah make feel like I locked heaven looong looong yeah make feel like I locked heaven looong looong ohohohoh yeah yeah yeah stay spend rest day ohohohoh yeah yeah yeah stay spend rest day make feel like I locked heaven looong looong yeah make feel like I locked heaven looong looong aw yeah yeah yeah yeah ooh aw yeah yeah aw yeah yeah yeah yeah ooh
Gorilla,"[Verse 1]
Ooh, I got a body full of liquor
With a cocaine kicker
And I'm feeling like I'm thirty feet tall
So lay it down, lay it down
You got your legs up in the sky
With the devil in your eyes
Let me hear you say you want it all
Say it now, say it now

[Pre-Chorus]
Look what you're doing
Look what you've done
But in this jungle you can't run
Cause what I got for you, I promise it's a killa
You'll be banging on my chest, bang bang, gorilla

[Chorus]
Ooh, yeah
You and me, baby, making love like gorillas
Ooh, yeah
You and me, baby, making love like gorillas

[Verse 2]
Yeah, I got a fistful of your hair
But you don't look like you're scared
You're just smiling, tell me ""Daddy, it's yours""
Cause you know how I like it you's a dirty little lover
If the neighbors call the cops
Call the sheriff, call the SWAT, we don't stop
We keep rocking while they knocking on our door
And you're screaming, ""Give it to me baby
Give it to me, motherfucker!""

[Pre-Chorus]
Look what you're doing
Look what you've done
But in this jungle you can't run
Cause what I got for you, I promise it's a killa
You'll be banging on my chest, bang bang, gorilla

[Chorus]
Ooh, yeah
You and me, baby, making love like gorillas
Ooh, yeah
You and me, baby, making love like gorillas

[Bridge]
I bet you never ever felt so good, so good
I got your body trembling like it should, it should
You'll never be the same, baby, once I'm done with
Yoo-oo-oo-oo-oou, yeah

[Breakdown]
You, you, you...

[Chorus]
Oho, you with me, baby, making love like gorillas
Oh, oh, oh, oh yeah
Yeah, you and me ,baby, we'll be fucking like gorillas
(Oh...)
Yeah, yeah, yeah, baby baby, aw, yeah
You and me baby, making love like gorillas

[Live Verse]
Girl, let me take my time, take my time, take my time, babe
I just want one smile, want one smile, want one smile, babe
Once I lay besides you, girl, I will make you scream, ""yeah, yeah""
Girl, let me take my time, take my time, take my time, babe
I just want one smile, want one smile, want one smile, babe
Once I get inside you, girl, I will make you scream, ""yeah, yeah, yeah""
Come on (etc.)
Yeah, yeah, yeah",ooh got body full liquor cocaine kicker I feeling like I thirty foot tall lay lay got leg sky devil eye let hear say want say say look look done jungle run got promise killa banging chest bang bang gorilla ooh yeah baby making love like gorilla ooh yeah baby making love like gorilla yeah got fistful hair look like scared smiling tell daddy know like yous dirty little lover neighbor call cop call sheriff call swat stop keep rocking knocking door screaming give baby give motherfucker look look done jungle run got promise killa banging chest bang bang gorilla ooh yeah baby making love like gorilla ooh yeah baby making love like gorilla bet never ever felt good good got body trembling like never baby I done yoooooooooou yeah oho baby making love like gorilla oh oh oh oh yeah yeah baby fucking like gorilla oh yeah yeah yeah baby baby aw yeah baby making love like gorilla girl let take time take time take time babe want one smile want one smile want one smile babe lay besides girl make scream yeah yeah girl let take time take time take time babe want one smile want one smile want one smile babe get inside girl make scream yeah yeah yeah come etc yeah yeah yeah
Treasure,"[Intro]
Baby squirrel, you's a sexy mother-fucker

[Verse 1]
Gimme your, gimme your, gimme your attention, baby
I gotta tell you a little somethin' about yourself!
You're wonderful, flawless, ooh you're a sexy lady
But you walk around here like you wanna be someone else

[Pre-Chorus]
I know that you don't know it, but you're fine, so fine
Oh girl I'm gonna show you when you're mine, oh mine

[Chorus]
Treasure, that is what you are
Honey you're my golden star
You know you can make my wish come true
If you let me treasure you
If you let me treasure you

[Verse 2]
Pretty girl, pretty girl, pretty girl you should be smiling
A girl like you should never look so blue
You're everything I see in my dreams
I wouldn't say that to you if it wasn't true

[Pre-Chorus]
I know that you don't know it, but you're fine, so fine
Oh girl I'm gonna show you when you're mine, oh mine

[Chorus]
Treasure, that is what you are
Honey you're my golden star
You know you can make my wish come true
If you let me treasure you
If you let me treasure you

[Interlude]
You are my treasure, you are my treasure
You are my treasure, yeah, you you you, you are
You are my treasure, you are my treasure
You are my treasure, yeah, you you you, you are

[Chorus]
Treasure, that is what you are
Honey you're my golden star
You know you can make my wish come true
If you let me treasure you
If you let me treasure you",baby squirrel yous sexy motherfucker give give give attention baby got tell little something wonderful flawless ooh sexy lady walk around like want someone else know know fine fine oh girl I going show mine oh mine treasure honey golden star know make wish come true let treasure let treasure pretty girl pretty girl pretty girl smiling girl like never look blue everything see dream would say true know know fine fine oh girl I going show mine oh mine treasure honey golden star know make wish come true let treasure let treasure treasure treasure treasure yeah treasure treasure treasure yeah treasure honey golden star know make wish come true let treasure let treasure
Moonshine,"[Verse 1]
Hello
You know you look even better
Than the way you did the night before
And the moment that you kiss my lips
You know, I start to feel wonderful
It's something incredible
There's sex in your chemicals, oh
Ooh, let's go
You're the best way I know to escape the extraordinary
This world ain't for you
And I know for damn sure this world ain't for me
Lift off and say goodbye
Just let your fire set me free

[Chorus]
Oh, moonshine, take us to the stars tonight
Take us to that special place
That place we went the last time
The last time

[Verse 2]
I know
I was with you last night, but it feels like it's been so long
And everybody that's around
They notice that I'm not myself when you're gone
It's good to see you again
Good to see you again
On top of the world
Is where I stand when you're back in my life
Life's not so bad when you're way up this high
Everything is alright
Everything is alright

[Chorus]
Oh, moonshine, take us to the stars tonight
Take us to that special place
That place we went the last time
The last time
Oh, moonshine, your loving makes me come alive
Take us to that special place
That place we went the last time
The last time

[Bridge]
Don't look down, don't you ever look back
We are not afraid to die young and live fast
Give me good times, give me love, give me laughs
Let's take a ride to the sky before the night is gone

[Chorus]
Oh, moonshine, take us to the stars tonight
Take us to that special place
That place we went the last time
The last time
Oh, moonshine, your loving makes me come alive
Take us to that special place
That place we went the last time
The last time",hello know look even better way night moment kiss lip know start feel wonderful something incredible sex chemical oh ooh let u go best way know escape extraordinary world know damn sure world lift say goodbye let fire set free oh moonshine take u star tonight take u special place place went last time last time know last night feel like long everybody around notice I gone good see good see top world stand back life life bad way high everything alright everything alright oh moonshine take u star tonight take u special place place went last time last time oh moonshine loving make come alive take u special place place went last time last time look ever look back afraid die young live fast give good time give love give laugh let u take ride sky night gone oh moonshine take u star tonight take u special place place went last time last time oh moonshine loving make come alive take u special place place went last time last time
When I Was Your Man,"[Verse 1]
Same bed but it feels just a little bit bigger now
Our song on the radio but it don't sound the same
When our friends talk about you, all it does is just tear me down
'Cause my heart breaks a little when I hear your name

[Pre-Chorus]
It all just sounds like oooooh ooh
Mmm, too young, too dumb to realize

[Chorus]
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man

[Verse 2]
My pride, my ego, my needs, and my selfish ways
Caused a good, strong woman like you to walk out my life
Now I'll never, never get to clean up the mess I made (oh)
And it haunts me every time I close my eyes

[Pre-Chorus]
It all just sounds like oooooh ooh
Mmm, too young, too dumb to realize

[Chorus]
That I should have bought you flowers
And held your hand
Should have gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancing
But she's dancing with another man

[Bridge]
Although it hurts
I'll be the first to say that I was wrong
Oh, I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know

[Chorus]
I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you loved to dance
Do all the things I should have done
When I was your man

[Outro]
Do all the things I should have done
When I was your man",bed feel little bit bigger song radio sound friend talk tear heart break little hear name sound like oooooh ooh mmm young dumb realize bought flower held hand gave hour chance take every party wanted dance baby dancing dancing another man pride ego need selfish way caused good strong woman like walk life I never never get clean mess made oh haunt every time close eye sound like oooooh ooh mmm young dumb realize bought flower held hand gave hour chance take every party wanted dance baby dancing dancing another man although hurt I first say wrong oh know I probably much late try apologize mistake want know hope buy flower hope hold hand give hour chance take every party remember much loved dance thing done man thing done man
Natalie,"[Verse 1]
Oh, I've never done this before
Never want to do this again
Wrong turn, on a dusty road
I did it to myself, I can't pretend
Well I learned just a little too late
Good God, I must have been blind
Cause she got me for everything
Everything, everything, alright
Like my daddy, I'm a gambling man
Never been afraid to roll the dice
But when I put my bet on her
Little Miss Snake Eyes ruined my life
She better sleep with one eye open
Better make sure to lock her doors
Cause once I get my hands on her, I'ma ooh

[Chorus]
Natalie, she ran away with all my money
And she did it for fun
Natalie, she's probably out there thinking it's funny
Telling everyone
Well, I'm digging a ditch for this gold digging bitch
Watch out, she's quick
Look out for a pretty little thing named Natalie
If you see her, tell her I'm coming
She better run

[Verse 2]
The good lord better bless your soul
Cause I done already cursed your name
Don't matter which way you go
Payback's gonna come your way
You'll be begging me, ""Please, please, please""
And I'ma look at you and laugh, laugh, laugh
While you sit there and cry for me, cry for me
Cry for me all night
I'll spend a life time in jail
(Yeah, that's what I'll do)
I'll be smiling in my cell
(Yeah, thinking 'bout you)
Can't nobody save you now
Sure there ain't no use in trying
Once I get my hands on you, I'ma ooh

[Chorus]
Natalie, she ran away with all my money
And she did it for fun
Natalie, she's probably out there thinking it's funny
Telling every one
Well, I'm digging a ditch for this gold digging bitch
Watch out, she's quick
Look out for a pretty little thing named Natalie
If you see her, tell her I'm coming
She better run

[Bridge]
I should've known better
(I should've known better)
Cause when we were together
(Cause when we were together)
She never said forever
(She never said forever)
I'm a fool that played in her game, hey!

[Chorus]
Natalie, she ran away with all my money
And she did it for fun
Natalie, she's probably out there thinking it's funny
Telling every one
Well, I'm digging a ditch for this gold digging bitch
Watch out, she's quick
Look out for a pretty little thing named Natalie
If you see her, tell her I'm coming
She better run",oh I never done never want wrong turn dusty road pretend well learned little late good god must blind got everything everything everything alright like daddy I gambling man never afraid roll dice put bet little miss snake eye ruined life better sleep one eye open better make sure lock door get hand ima ooh natalie ran away money fun natalie probably thinking funny telling everyone well I digging ditch gold digging bitch watch quick look pretty little thing named natalie see tell I coming better run good lord better bless soul done already cursed name matter way go payback going come way begging please please please ima look laugh laugh laugh sit cry cry cry night I spend life time jail yeah I I smiling cell yeah thinking bout nobody save sure use trying get hand ima ooh natalie ran away money fun natalie probably thinking funny telling every one well I digging ditch gold digging bitch watch quick look pretty little thing named natalie see tell I coming better run known better known better together together never said forever never said forever I fool played game hey natalie ran away money fun natalie probably thinking funny telling every one well I digging ditch gold digging bitch watch quick look pretty little thing named natalie see tell I coming better run
Show Me,"[Intro]
Oh yeah, oh yeah
Baby, here we are again, ooh

[Verse 1]
I can see it in your eyes, you want a good time
You wanna put your body on mine
Alright, but don't change your mind
Don't you change it, oh no
Oh yeah, you called me today
Drove all this way, so don't let this buzz go to waste, oh no
Your pleasure, pleasure island is where we can go

[Pre-Chorus]
No, I won't think you're easy, no, I won't think you're fast
Your eyes say amazing, but your lips came to ask
No need to fight it, when you know it feels alright
You say you're a woman who knows what she likes

[Chorus]
Then show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah
Girl, show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah

[Verse 2]
Love the way that you laugh, the way that you smile
Makes me feel like you've been waiting a while
But guess what darling? I've been waiting too
So let's grind, we can get freaky tonight
Right is your ticket to ride
Tell me girl what you gon' do

[Pre-Chorus]
No, I won't think you're easy, no, I won't think you're fast
Your eyes say amazing, but your lips came to ask
No need to fight it, when you know it feels alright
You say you're a woman who knows what she likes

[Chorus]
Then show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah
Girl, show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah

[Bridge]
It's getting freaky in this room, room, room
Now let me hear you say you want that boom, boom, boom
We can take it slow, we can zoom, zoom, zoom
Baby, if you're ready for that uh-uh-uh
It's getting freaky in this room, room, room
Now let me hear you say you want that boom, boom, boom
We can take it slow, we can zoom, zoom, zoom
Baby, if you're ready for that uh-uh-uh

[Chorus]
Then show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah
Girl, show me, you got to, you got to show me
You tell me all day that you're lonely
But show me, show me, show me tonight, yeah",oh yeah oh yeah baby ooh see eye want good time want put body mine alright change mind change oh oh yeah called today drove way let buzz go waste oh pleasure pleasure island go think easy think fast eye say amazing lip came ask need fight know feel alright say woman know like show got got show tell day lonely show show show tonight yeah girl show got got show tell day lonely show show show tonight yeah love way laugh way smile make feel like waiting guess darling I waiting let u grind get freaky tonight right ticket ride tell girl gon think easy think fast eye say amazing lip came ask need fight know feel alright say woman know like show got got show tell day lonely show show show tonight yeah girl show got got show tell day lonely show show show tonight yeah getting freaky room room room let hear say want boom boom boom take slow zoom zoom zoom baby ready uhuhuh getting freaky room room room let hear say want boom boom boom take slow zoom zoom zoom baby ready uhuhuh show got got show tell day lonely show show show tonight yeah girl show got got show tell day lonely show show show tonight yeah
Money Make Her Smile,"[Instrumental break]

[Verse 1]
All you 'get back, coming to the stage'
Is a girl who's new in town
She go by the name 'Where Your Stacks At?'
This pretty little thing, I swear, won't let you down
Watch her drop it like, (dat..) hey!

[Chorus]
Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile

[Verse 2]
She's a super freak
You wouldn't know it if you saw her outside these velvet walls
No, she don't go where preachers preach
She only go to the church where dollars fall
Watch her drop it like, (dat..) hey!

[Chorus]
Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile

[Breakdown]
Yeah, yeah, yeah, yeah
Watch her
(Give her what you got, give her, give her what you got...)

[Chorus]
Oh, it's not complicated, so this won't take a while
You see, music make her dance
And money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile
(Give her what you got, give her, give her what you got...)
Money, money, money make her smile",get back coming stage girl new town go name stack pretty little thing swear let watch drop like dat hey oh complicated take see music make dance money money money make smile give got give give got money money money make smile give got give give got money money money make smile super freak would know saw outside velvet wall go preacher preach go church dollar fall watch drop like dat hey oh complicated take see music make dance money money money make smile give got give give got money money money make smile give got give give got money money money make smile yeah yeah yeah yeah watch give got give give got oh complicated take see music make dance money money money make smile give got give give got money money money make smile give got give give got money money money make smile
If I Knew,"[Verse 1]
Oh, oh, oh I, I was a city boy
Riding to dangers where I'd always run
A boy who had his fun
But I wouldn't have done
All the things that I have done
If I knew one day you'd come
Now baby (now baby) now baby (now baby)

[Verse 2]
Oh, oh, oh I, I know it breaks your heart
To picture the only one you want to love
In someone else's arms
But I wouldn't have done
All the things that I have done
If I knew one day you'd come
Now baby (now baby) now baby (now baby)

[Bridge]
Oh baby, please, let's leave the past behind us
Behind us
So that we can go where love will find us
Yeah, will find us
I know most girls would leave me
But I know that you believe me

[Verse 3]
Baby, I, I wish we were seventeen
So I could give you all the innocence
That you give to me
No, I wouldn't have done
All the things that I've done
If I knew one day you'd come
If I knew one day you'd come",oh oh oh city boy riding danger I would always run boy fun would done thing done knew one day would come baby baby baby baby oh oh oh know break heart picture one want love someone el arm would done thing done knew one day would come baby baby baby baby oh baby please let u leave past behind u behind u go love find u yeah find u know girl would leave know believe baby wish seventeen could give innocence give would done thing I done knew one day would come knew one day would come
